Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2019;4UF;NOT FOUND;NOT FOUND;1;1
2019;4us;BMW;X5 3.0si;62;228
2019;4us;BMW;X5 3.5d;1;1
2019;4us;BMW;X5 4.8i;41;141
2019;4us;BMW;Z3 1.9;1;1
2019;4US;BMW;Z4 3.0i;1;13
2019;4us;NOT FOUND;NOT FOUND;5;5
2019;4UX;NOT FOUND;NOT FOUND;1;2
2019;4v1;NOT FOUND;NOT FOUND;1;1
2019;4V4;NOT FOUND;NOT FOUND;6;8
2019;4vg;NOT FOUND;NOT FOUND;1;1
2019;4vs;NOT FOUND;NOT FOUND;1;3
2019;4vw;NOT FOUND;NOT FOUND;1;2
2019;4wk;NOT FOUND;NOT FOUND;1;1
2019;4x2;NOT FOUND;NOT FOUND;1;1
2019;4x4;NOT FOUND;NOT FOUND;1;2
2019;4xa;NOT FOUND;NOT FOUND;1;1
2019;4Xw;NOT FOUND;NOT FOUND;1;1
2019;4XX;NOT FOUND;NOT FOUND;1;2
2019;4y1;NOT FOUND;NOT FOUND;2;2
2019;4y3;NOT FOUND;NOT FOUND;1;1
2019;4YF;NOT FOUND;NOT FOUND;1;1
2019;4yg;NOT FOUND;NOT FOUND;1;1
2019;4YK;NOT FOUND;NOT FOUND;1;1
2019;4z3;NOT FOUND;NOT FOUND;2;3
2019;4ZG;NOT FOUND;NOT FOUND;1;1
2019;4ZU;NOT FOUND;NOT FOUND;1;1
2019;50T;NOT FOUND;NOT FOUND;1;2
2019;51Z;NOT FOUND;NOT FOUND;1;2
2019;54d;NOT FOUND;NOT FOUND;1;1
2019;54X;NOT FOUND;NOT FOUND;1;1
2019;55a;NOT FOUND;NOT FOUND;1;1
2019;55j;NOT FOUND;NOT FOUND;1;1
2019;55S;MERCEDES-BENZ;C 300 4MATIC;1;1
2019;55u;NOT FOUND;NOT FOUND;1;2
2019;581;NOT FOUND;NOT FOUND;1;2
2019;594;NOT FOUND;NOT FOUND;1;1
